код,название,значение
300,ГРЕЦИЯ,Strana_300GrcGrecziyaMember
304,ГРЕНЛАНДИЯ,Strana_304GrlGrenlandiyaMember
308,ГРЕНАДА,Strana_308GrdGrenadaMember
312,ГВАДЕЛУПА,Strana_312GlpGvadelupaMember
316,ГУАМ,Strana_316GumGuamMember
320,ГВАТЕМАЛА,Strana_320GtmGvatemalaMember
324,ГВИНЕЯ,Strana_324GinGvineyaMember
328,ГАЙАНА,Strana_328GuyGajanaMember
332,ГАИТИ,Strana_332HtiGaitiMember
334,ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД,Strana_334HmdOstrovXerdIOstrovaMakdonaldMember
336,ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН),Strana_336VatPapskijPrestolGosudarstvoGorodVatikanMember
340,ГОНДУРАС,Strana_340HndGondurasMember
344,ГОНКОНГ,Strana_344HkgGonkongMember
348,ВЕНГРИЯ,Strana_348HunVengriyaMember
352,ИСЛАНДИЯ,Strana_352IslIslandiyaMember
356,ИНДИЯ,Strana_356IndIndiyaMember
360,ИНДОНЕЗИЯ,Strana_360IdnIndoneziyaMember
364,ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА),Strana_364IrnIranIslamskayaRespublikaMember
368,ИРАК,Strana_368IrqIrakMember
372,ИРЛАНДИЯ,Strana_372IrlIrlandiyaMember
376,ИЗРАИЛЬ,Strana_376IsrIzrailMember
380,ИТАЛИЯ,Strana_380ItaItaliyaMember
384,КОТ Д'ИВУАР,Strana_384CivKotDIvuarMember
388,ЯМАЙКА,Strana_388JamYAmajkaMember
392,ЯПОНИЯ,Strana_392JpnYAponiyaMember
398,КАЗАХСТАН,Strana_398KazKazaxstanMember
400,ИОРДАНИЯ,Strana_400JorIordaniyaMember
404,КЕНИЯ,Strana_404KenKeniyaMember
408,"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА",Strana_408PrkKoreyaNarodnoDemokraticheskayaRespublikaMember
410,"КОРЕЯ, РЕСПУБЛИКА",Strana_410KorKoreyaRespublikaMember
414,КУВЕЙТ,Strana_414KwtKuvejtMember
417,КИРГИЗИЯ,Strana_417KgzKirgiziyaMember
418,ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА,Strana_418LaoLaosskayaNarodnoDemokraticheskayaRespublikaMember
422,ЛИВАН,Strana_422LbnLivanMember
426,ЛЕСОТО,Strana_426LsoLesotoMember
428,ЛАТВИЯ,Strana_428LvaLatviyaMember
430,ЛИБЕРИЯ,Strana_430LbrLiberiyaMember
434,ЛИВИЯ,Strana_434LbyLiviyaMember
438,ЛИХТЕНШТЕЙН,Strana_438LieLixtenshtejnMember
440,ЛИТВА,Strana_440LtuLitvaMember
442,ЛЮКСЕМБУРГ,Strana_442LuxLyuksemburgMember
446,МАКАО,Strana_446MacMakaoMember
450,МАДАГАСКАР,Strana_450MdgMadagaskarMember
454,МАЛАВИ,Strana_454MwiMalaviMember
458,МАЛАЙЗИЯ,Strana_458MysMalajziyaMember
462,МАЛЬДИВЫ,Strana_462MdvMaldivyMember
466,МАЛИ,Strana_466MliMaliMember
470,МАЛЬТА,Strana_470MltMaltaMember
474,МАРТИНИКА,Strana_474MtqMartinikaMember
478,МАВРИТАНИЯ,Strana_478MrtMavritaniyaMember
480,МАВРИКИЙ,Strana_480MusMavrikijMember
484,МЕКСИКА,Strana_484MexMeksikaMember
492,МОНАКО,Strana_492McoMonakoMember
496,МОНГОЛИЯ,Strana_496MngMongoliyaMember
498,"МОЛДОВА, РЕСПУБЛИКА",Strana_498MdaMoldovaRespublikaMember
499,ЧЕРНОГОРИЯ,Strana_499MneCHernogoriyaMember
500,МОНТСЕРРАТ,Strana_500MsrMontserratMember
504,МАРОККО,Strana_504MarMarokkoMember
508,МОЗАМБИК,Strana_508MozMozambikMember
512,ОМАН,Strana_512OmnOmanMember
516,НАМИБИЯ,Strana_516NamNamibiyaMember
520,НАУРУ,Strana_520NruNauruMember
524,НЕПАЛ,Strana_524NplNepalMember
528,"НИДЕРЛАНДЫ, КОРОЛЕВСТВО",Strana_528NldNiderlandyMember
531,КЮРАСАО,Strana_531CuwKyurasaoMember
533,АРУБА,Strana_533AbwArubaMember
534,СЕН-МАРТЕН (нидерландская часть),Strana_534SxmSenMartenNiderlandskayaCHastMember
535,"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА",Strana_535BesBonejrSintEstatiusISabaMember
540,НОВАЯ КАЛЕДОНИЯ,Strana_540NclNovayaKaledoniyaMember
548,ВАНУАТУ,Strana_548VutVanuatuMember
554,НОВАЯ ЗЕЛАНДИЯ,Strana_554NzlNovayaZelandiyaMember
558,НИКАРАГУА,Strana_558NicNikaraguaMember
562,НИГЕР,Strana_562NerNigerMember
566,НИГЕРИЯ,Strana_566NgaNigeriyaMember
570,НИУЭ,Strana_570NiuNiueMember
574,ОСТРОВ НОРФОЛК,Strana_574NfkOstrovNorfolkMember
578,НОРВЕГИЯ,Strana_578NorNorvegiyaMember
580,СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА,Strana_580MnpSevernyeMarianskieOstrovaMember
581,МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ,Strana_581UmiMalyeTixookeanskieOtdalennyeOstrovaSoedinennyxSHtatovMember
583,"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ",Strana_583FsmMikroneziyaFederativnyeSHtatyMember
584,МАРШАЛЛОВЫ ОСТРОВА,Strana_584MhlMarshallovyOstrovaMember
585,ПАЛАУ,Strana_585PlwPalauMember
586,ПАКИСТАН,Strana_586PakPakistanMember
591,ПАНАМА,Strana_591PanPanamaMember
598,ПАПУА-НОВАЯ ГВИНЕЯ,Strana_598PngPapuaNovayaGvineyaMember
600,ПАРАГВАЙ,Strana_600PryParagvajMember
604,ПЕРУ,Strana_604PerPeruMember
608,ФИЛИППИНЫ,Strana_608PhlFilippinyMember
612,ПИТКЕРН,Strana_612PcnPitkernMember
616,ПОЛЬША,Strana_616PolPolshaMember
620,ПОРТУГАЛИЯ,Strana_620PrtPortugaliyaMember
624,ГВИНЕЯ-БИСАУ,Strana_624GnbGvineyaBisauMember
626,ТИМОР-ЛЕСТЕ,Strana_626TlsTimorLesteMember
630,ПУЭРТО-РИКО,Strana_630PriPuertoRikoMember
634,КАТАР,Strana_634QatKatarMember
638,РЕЮНЬОН,Strana_638ReuReyunonMember
642,РУМЫНИЯ,Strana_642RouRumyniyaMember
643,РОССИЯ,Strana_643RusRossiyaMember
646,РУАНДА,Strana_646RwaRuandaMember
652,СЕН-БАРТЕЛЕМИ,Strana_652BlmSenBartelemiMember
654,"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ",Strana_654ShnSvyatayaElenaOstrovVozneseniyaMember
659,СЕНТ-КИТС И НЕВИС,Strana_659KnaSentKitsINevisMember
660,АНГИЛЬЯ,Strana_660AiaAngilyaMember
662,СЕНТ-ЛЮСИЯ,Strana_662LcaSentLyusiyaMember
663,"СЕН-МАРТЕН (французская часть)
",Strana_663MafSenMartenMember
666,СЕН-ПЬЕР И МИКЕЛОН,Strana_666SpmSenPerIMikelonMember
670,СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ,Strana_670VctSentVinsentIGrenadinyMember
674,САН-МАРИНО,Strana_674SmrSanMarinoMember
678,САН-ТОМЕ И ПРИНСИПИ,Strana_678StpSanTomeIPrinsipiMember
682,САУДОВСКАЯ АРАВИЯ,Strana_682SauSaudovskayaAraviyaMember
686,СЕНЕГАЛ,Strana_686SenSenegalMember
